"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-01","7.61",,"0.00","0.0","0.0",,"42","34",,"  290","  300","17.0","25.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-02","6.71",,"0.00","0.0","0.0",,"40","32",,"  290","  270","15.0","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-03","7.83",,"0.00","0.0","0.0",,"45","35",,"  270","  240","17.0","25.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-04","8.50",,"0.00","0.0","0.0",,"36","14",,"   40","   40","21.0","31.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-05","5.14",,"0.00","0.0","0.0",,"29","11",,"   10","   20","19.9","30.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-06","3.58",,"0.00","0.0","0.0",,"41","25",,"  250","  250","13.0","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-07","2.46",,"0.00","0.0","0.0",,"46","31",,"  260",,"6.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-08","4.25",,"0.00","0.0","0.0",,"46","31",,"   80","   80","14.1","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-09","8.05",,"0.00","0.0","0.0",,"47","40",,"   70","   80","15.0","19.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-10","9.84",,"1.80","0.0","0.0",,"59","40",,"  280","  290","21.9","35.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-11","10.51",,"0.00","0.0","0.0",,"40","26",,"  280","  280","19.9","35.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-12","6.04",,"0.00","0.0","0.0",,"44","25",,"  290","  280","21.9","35.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-13","9.84",,"0.00","0.0","0.0",,"30","22",,"  280","  260","21.0","35.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-14","4.92",,"0.00","0.0","0.0",,"38","22",,"  260","  280","15.0","23.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-15","5.14",,"0.00","0.0","0.0",,"51","34",,"  170","  170","12.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-16","6.71",,"0.24","0.0","0.0",,"52","42",,"  310","  270","15.0","21.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-17","5.59",,"0.05","0.4","0.0",,"42","30",,"   60","   10","13.0","19.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-18","11.86",,"0.00","0.0","0.0",,"31","18",,"  290","  280","21.9","35.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-19","10.96",,"0.00","0.0","0.0",,"28","16",,"  280","  280","19.9","34.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-20","5.59",,"0.00","0.0","0.0",,"37","27",,"  310","  290","14.1","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-21","6.04",,"0.00","0.0","0.0",,"36","26",,"  310","   10","15.0","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-22","6.49",,"0.01","0.2","0.0",,"30","21",,"   50","   30","16.1","21.9",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-23","15.66",,"2.31","27.3","5.9",,"27","24",,"   30","   40","25.1","42.9","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-24","5.82",,"0.00","0.0","22.0",,"35","20",,"   10","   20","17.0","28.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-25","3.36",,"0.00","0.0","18.9",,"39","28",,"  190","  180","8.9","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-26","6.49",,"0.00","0.0","16.9",,"48","38",,"  230","  250","16.1","29.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-27","6.71",,"0.00","0.0","9.1",,"47","34",,"  290","  320","15.0","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-28","4.47",,"0.00","0.0","5.9",,"42","32",,"  250","  260","14.1","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-29","7.83",,"0.00","0.0","5.9",,"41","30",,"  310","  320","17.0","32.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-30","6.93",,"0.00","0.0","5.9",,"39","28",,"  240","  250","16.1","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-31","5.14",,"0.00","0.0","3.9",,"56","36",,"  250","  240","14.1","21.9",,,,,,
